# Метеостанция Лондон / Сент-Джеймский парк, Великобритания, WMO_ID=3770, выборка с 01.01.2013 по 30.07.2013, все дни
# Кодировка: ANSI
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=3770&lang=ru
#
"Местное время в Лондоне / Сент-Джеймском парке";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"05.04.2013 16:00";"8.0";"";"";"";"39";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-5.1";"";"";"";"";"";"";
"05.04.2013 13:00";"6.8";"";"";"";"50";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-3.1";"0.2";"6";"";"";"";"";
"05.04.2013 10:00";"3.6";"";"";"";"70";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-1.4";"";"";"";"";"";"";
"05.04.2013 07:00";"3.2";"";"";"";"73";"";"";"";"";"";" ";"";"";"2.2";"";"";"";"";"";"";"";"-1.2";"Осадков нет";"12";"";"0.0";"";"";
"05.04.2013 04:00";"2.4";"";"";"";"74";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-1.7";"";"";"";"";"";"";
"05.04.2013 01:00";"2.2";"";"";"";"69";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-2.9";"Осадков нет";"6";"";"";"";"";
"04.04.2013 22:00";"2.8";"";"";"";"59";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-4.5";"";"";"";"";"";"";
"04.04.2013 19:00";"3.5";"";"";"";"63";"";"";"";"";"";" ";"";"";"";"3.7";"";"";"";"";"";"";"-2.9";"0.6";"12";"";"";"";"";
"04.04.2013 16:00";"3.2";"";"";"";"82";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.5";"";"";"";"";"";"";
"04.04.2013 13:00";"2.4";"";"";"";"80";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-0.7";"Осадков нет";"6";"";"";"";"";
"04.04.2013 10:00";"3.1";"";"";"";"60";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-3.9";"";"";"";"";"";"";
"04.04.2013 07:00";"1.9";"";"";"";"81";"";"";"";"";"";" ";"";"";"1.0";"";"";"";"";"";"";"";"-1.1";"Осадков нет";"12";"";"-1.0";"";"";
"04.04.2013 04:00";"1.9";"";"";"";"76";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-1.9";"";"";"";"";"";"";
"04.04.2013 01:00";"2.4";"";"";"";"70";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-2.5";"Осадков нет";"6";"";"";"";"";
"03.04.2013 22:00";"3.9";"";"";"";"51";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-5.4";"";"";"";"";"";"";
"03.04.2013 19:00";"4.5";"";"";"";"53";"";"";"";"";"";" ";"";"";"";"4.9";"";"";"";"";"";"";"-4.3";"Осадков нет";"12";"";"";"";"";
"03.04.2013 16:00";"4.4";"";"";"";"53";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-4.4";"";"";"";"";"";"";
"03.04.2013 13:00";"4.1";"";"";"";"54";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-4.6";"Осадков нет";"6";"";"";"";"";
"03.04.2013 07:00";"1.0";"";"";"";"84";"";"";"";"";"";" ";"";"";"0.8";"";"";"";"";"";"";"";"-1.5";"Осадков нет";"12";"";"-2.0";"";"";
"03.04.2013 04:00";"1.1";"";"";"";"80";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-1.9";"";"";"";"";"";"";
"03.04.2013 01:00";"1.7";"";"";"";"70";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-3.2";"Осадков нет";"6";"";"";"";"";
"02.04.2013 22:00";"3.5";"";"";"";"51";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-5.6";"";"";"";"";"";"";
"02.04.2013 19:00";"5.9";"";"";"";"35";"";"";"";"";"";" ";"";"";"";"8.8";"";"";"";"";"";"";"-8.6";"Осадков нет";"12";"";"";"";"";
"02.04.2013 16:00";"8.6";"";"";"";"33";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-6.8";"";"";"";"";"";"";
"02.04.2013 13:00";"8.4";"";"";"";"35";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-6.4";"Осадков нет";"6";"";"";"";"";
"02.04.2013 10:00";"4.9";"";"";"";"61";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-2.0";"";"";"";"";"";"";
"02.04.2013 07:00";"0.4";"";"";"";"81";"";"";"";"";"";" ";"";"";"0.4";"";"";"";"";"";"";"";"-2.5";"Осадков нет";"12";"";"-3.0";"";"";
"02.04.2013 04:00";"0.9";"";"";"";"75";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-3.0";"";"";"";"";"";"";
"02.04.2013 01:00";"1.0";"";"";"";"73";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-3.4";"Осадков нет";"6";"";"";"";"";
"01.04.2013 22:00";"2.1";"";"";"";"63";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-4.2";"";"";"";"";"";"";
"01.04.2013 19:00";"4.4";"";"";"";"50";"";"";"";"";"";" ";"";"";"";"7.0";"";"";"";"";"";"";"-5.2";"Осадков нет";"12";"";"";"";"";
"01.04.2013 16:00";"6.5";"";"";"";"44";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-4.8";"";"";"";"";"";"";
"01.04.2013 13:00";"4.1";"";"";"";"56";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-3.9";"Осадков нет";"6";"";"";"";"";
"01.04.2013 10:00";"3.1";"";"";"";"60";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-3.8";"";"";"";"";"";"";
"01.04.2013 07:00";"2.3";"";"";"";"75";"";"";"";"";"";" ";"";"";"1.1";"";"";"";"";"";"";"";"-1.8";"Осадков нет";"12";"";"-2.0";"";"";
"01.04.2013 04:00";"2.0";"";"";"";"75";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-1.9";"";"";"";"";"";"";
"01.04.2013 01:00";"1.6";"";"";"";"75";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-2.4";"Осадков нет";"6";"";"";"";"";
"31.03.2013 22:00";"1.8";"";"";"";"76";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-1.9";"";"";"";"";"";"";
"31.03.2013 19:00";"4.0";"";"";"";"56";"";"";"";"";"";" ";"";"";"";"6.1";"";"";"";"";"";"";"-4.0";"Осадков нет";"12";"";"";"";"";
"31.03.2013 16:00";"4.7";"";"";"";"54";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-3.8";"";"";"";"";"";"";
"31.03.2013 13:00";"4.4";"";"";"";"50";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-5.2";"Осадков нет";"6";"";"";"";"";
"31.03.2013 10:00";"3.7";"";"";"";"62";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-2.9";"";"";"";"";"";"";
"31.03.2013 07:00";"-0.8";"";"";"";"82";"";"";"";"";"";" ";"";"";"-1.0";"";"";"";"";"";"";"";"-3.5";"Осадков нет";"12";"";"-6.0";"";"";
"31.03.2013 04:00";"0.0";"";"";"";"79";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-3.2";"";"";"";"";"";"";
"31.03.2013 00:00";"1.4";"";"";"";"71";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-3.3";"Осадков нет";"6";"";"";"";"";
"30.03.2013 21:00";"3.1";"";"";"";"67";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-2.5";"";"";"";"";"";"";
"30.03.2013 18:00";"4.2";"";"";"";"65";"";"";"";"";"";" ";"";"";"";"6.3";"";"";"";"";"";"";"-1.8";"Осадков нет";"12";"";"";"";"";
"30.03.2013 15:00";"5.5";"";"";"";"55";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-2.7";"";"";"";"";"";"";
"30.03.2013 12:00";"5.2";"";"";"";"56";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-3.0";"Осадков нет";"6";"";"";"";"";
"30.03.2013 09:00";"3.3";"";"";"";"65";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-2.6";"";"";"";"";"";"";
"30.03.2013 06:00";"1.7";"";"";"";"75";"";"";"";"";"";" ";"";"";"1.3";"";"";"";"";"";"";"";"-2.3";"Осадков нет";"12";"";"-2.0";"";"";
"30.03.2013 03:00";"1.7";"";"";"";"76";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-2.1";"";"";"";"";"";"";
"30.03.2013 00:00";"1.3";"";"";"";"74";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-2.9";"Осадков нет";"6";"";"";"";"";
"29.03.2013 21:00";"2.6";"";"";"";"65";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-3.3";"";"";"";"";"";"";
"29.03.2013 18:00";"3.5";"";"";"";"61";"";"";"";"";"";" ";"";"";"";"6.3";"";"";"";"";"";"";"-3.3";"Осадков нет";"12";"";"";"";"";
"29.03.2013 15:00";"5.3";"";"";"";"50";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-4.3";"";"";"";"";"";"";
"29.03.2013 12:00";"5.9";"";"";"";"45";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-5.3";"Осадков нет";"6";"";"";"";"";
"29.03.2013 09:00";"3.7";"";"";"";"57";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-4.0";"";"";"";"";"";"";
"29.03.2013 06:00";"0.9";"";"";"";"71";"";"";"";"";"";" ";"";"";"-0.3";"";"";"";"";"";"";"";"-3.8";"Осадков нет";"12";"";"-5.0";"";"";
"29.03.2013 03:00";"0.0";"";"";"";"72";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-4.4";"";"";"";"";"";"";
"29.03.2013 00:00";"1.2";"";"";"";"64";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-5.0";"Осадков нет";"6";"";"";"";"";
"28.03.2013 21:00";"2.8";"";"";"";"58";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-4.6";"";"";"";"";"";"";
"28.03.2013 18:00";"3.7";"";"";"";"52";"";"";"";"";"";" ";"";"";"";"5.1";"";"";"";"";"";"";"-5.4";"Осадков нет";"12";"";"";"";"";
"28.03.2013 15:00";"4.7";"";"";"";"50";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-4.8";"";"";"";"";"";"";
"28.03.2013 12:00";"4.2";"";"";"";"59";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-3.3";"Осадков нет";"6";"";"";"";"";
"28.03.2013 09:00";"3.2";"";"";"";"69";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-2.0";"";"";"";"";"";"";
"28.03.2013 06:00";"-0.4";"";"";"";"85";"";"";"";"";"";" ";"";"";"-0.6";"";"";"";"";"";"";"";"-2.6";"Осадков нет";"12";"";"-4.0";"";"";
"28.03.2013 03:00";"0.0";"";"";"";"82";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-2.7";"";"";"";"";"";"";
"28.03.2013 00:00";"0.8";"";"";"";"70";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-4.1";"Осадков нет";"6";"";"";"";"";
"27.03.2013 21:00";"1.6";"";"";"";"58";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-5.8";"";"";"";"";"";"";
"27.03.2013 18:00";"2.9";"";"";"";"55";"";"";"";"";"";" ";"";"";"";"4.4";"";"";"";"";"";"";"-5.3";"Осадков нет";"12";"";"";"";"";
"27.03.2013 15:00";"3.4";"";"";"";"57";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-4.3";"";"";"";"";"";"";
"27.03.2013 12:00";"4.1";"";"";"";"54";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-4.4";"Осадков нет";"6";"";"";"";"";
"27.03.2013 09:00";"2.6";"";"";"";"62";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-4.0";"";"";"";"";"";"";
"27.03.2013 06:00";"0.2";"";"";"";"69";"";"";"";"";"";" ";"";"";"0.1";"";"";"";"";"";"";"";"-4.8";"Осадков нет";"12";"";"-3.0";"";"";
"27.03.2013 03:00";"0.3";"";"";"";"76";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-3.5";"";"";"";"";"";"";
"27.03.2013 00:00";"1.1";"";"";"";"73";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-3.2";"Осадков нет";"6";"";"";"";"";
"26.03.2013 21:00";"1.9";"";"";"";"63";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-4.4";"";"";"";"";"";"";
"26.03.2013 18:00";"2.1";"";"";"";"60";"";"";"";"";"";" ";"";"";"";"2.2";"";"";"";"";"";"";"-5.0";"Осадков нет";"12";"";"";"";"";
"26.03.2013 15:00";"1.9";"";"";"";"59";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-5.2";"";"";"";"";"";"";
"26.03.2013 12:00";"1.5";"";"";"";"62";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-5.0";"Осадков нет";"6";"";"";"";"";
"26.03.2013 09:00";"1.6";"";"";"";"63";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-4.7";"";"";"";"";"";"";
"26.03.2013 06:00";"1.2";"";"";"";"64";"";"";"";"";"";" ";"";"";"1.1";"";"";"";"";"";"";"";"-5.0";"Осадков нет";"12";"";"0.0";"";"";
"26.03.2013 03:00";"1.5";"";"";"";"62";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-4.9";"";"";"";"";"";"";
"26.03.2013 00:00";"1.7";"";"";"";"65";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-4.2";"Осадков нет";"6";"";"";"";"";
"25.03.2013 21:00";"1.7";"";"";"";"65";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-4.1";"";"";"";"";"";"";
"25.03.2013 18:00";"2.0";"";"";"";"63";"";"";"";"";"";" ";"";"";"";"2.1";"";"";"";"";"";"";"-4.3";"Осадков нет";"12";"";"";"";"";
"25.03.2013 15:00";"1.5";"";"";"";"65";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-4.4";"";"";"";"";"";"";
"25.03.2013 12:00";"1.3";"";"";"";"66";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-4.5";"Осадков нет";"6";"";"";"";"";
"25.03.2013 09:00";"1.3";"";"";"";"65";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-4.5";"";"";"";"";"";"";
"25.03.2013 06:00";"1.0";"";"";"";"64";"";"";"";"";"";" ";"";"";"0.9";"";"";"";"";"";"";"";"-5.1";"Осадков нет";"12";"";"0.0";"";"";
"25.03.2013 03:00";"1.6";"";"";"";"59";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-5.6";"";"";"";"";"";"";
"25.03.2013 00:00";"1.9";"";"";"";"58";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-5.5";"Осадков нет";"6";"";"";"";"";
"24.03.2013 21:00";"1.9";"";"";"";"58";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-5.5";"";"";"";"";"";"";
"24.03.2013 18:00";"1.2";"";"";"";"66";"";"";"";"";"";" ";"";"";"";"1.2";"";"";"";"";"";"";"-4.5";"0.4";"12";"";"";"";"";
"24.03.2013 15:00";"0.2";"";"";"";"77";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-3.4";"";"";"";"";"";"";
"24.03.2013 12:00";"0.4";"";"";"";"82";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-2.4";"0.4";"6";"";"";"";"";
"24.03.2013 09:00";"0.3";"";"";"";"86";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-1.8";"";"";"";"";"";"";
"24.03.2013 06:00";"0.7";"";"";"";"84";"";"";"";"";"";" ";"";"";"0.7";"";"";"";"";"";"";"";"-1.8";"Осадков нет";"12";"";"0.0";"";"";
"24.03.2013 03:00";"1.2";"";"";"";"86";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-0.9";"";"";"";"";"";"";
"24.03.2013 00:00";"1.7";"";"";"";"90";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.2";"Осадков нет";"6";"";"";"";"";
"23.03.2013 21:00";"1.9";"";"";"";"89";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.3";"";"";"";"";"";"";
"23.03.2013 18:00";"1.6";"";"";"";"91";"";"";"";"";"";" ";"";"";"";"1.9";"";"";"";"";"";"";"0.3";"5.0";"12";"";"";"";"";
"23.03.2013 15:00";"1.7";"";"";"";"91";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.4";"";"";"";"";"";"";
"23.03.2013 12:00";"1.7";"";"";"";"93";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.6";"3.0";"6";"";"";"";"";
"23.03.2013 09:00";"1.2";"";"";"";"94";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.3";"";"";"";"";"";"";
"23.03.2013 06:00";"1.4";"";"";"";"94";"";"";"";"";"";" ";"";"";"1.4";"";"";"";"";"";"";"";"0.5";"5.0";"12";"";"1.0";"";"";
"23.03.2013 03:00";"2.9";"";"";"";"90";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"1.5";"";"";"";"";"";"";
"23.03.2013 00:00";"3.4";"";"";"";"86";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"1.3";"2.0";"6";"";"";"";"";
"22.03.2013 21:00";"4.0";"";"";"";"86";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"1.9";"";"";"";"";"";"";
"22.03.2013 18:00";"4.5";"";"";"";"77";"";"";"";"";"";" ";"";"";"";"5.2";"";"";"";"";"";"";"0.8";"0.4";"12";"";"";"";"";
"22.03.2013 15:00";"4.9";"";"";"";"73";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.4";"";"";"";"";"";"";
"22.03.2013 12:00";"4.7";"";"";"";"75";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.6";"Осадков нет";"6";"";"";"";"";
"22.03.2013 09:00";"3.8";"";"";"";"73";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-0.6";"";"";"";"";"";"";
"22.03.2013 06:00";"2.9";"";"";"";"77";"";"";"";"";"";" ";"";"";"2.8";"";"";"";"";"";"";"";"-0.8";"2.0";"12";"";"2.0";"";"";
"22.03.2013 03:00";"2.9";"";"";"";"85";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.6";"";"";"";"";"";"";
"22.03.2013 00:00";"3.9";"";"";"";"79";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.5";"0.2";"6";"";"";"";"";
"21.03.2013 21:00";"4.5";"";"";"";"72";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-0.1";"";"";"";"";"";"";
"21.03.2013 18:00";"5.0";"";"";"";"67";"";"";"";"";"";" ";"";"";"";"6.9";"";"";"";"";"";"";"-0.7";"Осадков нет";"12";"";"";"";"";
"21.03.2013 15:00";"6.7";"";"";"";"65";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.5";"";"";"";"";"";"";
"21.03.2013 12:00";"6.3";"";"";"";"68";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.8";"Осадков нет";"6";"";"";"";"";
"21.03.2013 09:00";"4.3";"";"";"";"70";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-0.6";"";"";"";"";"";"";
"21.03.2013 06:00";"2.3";"";"";"";"84";"";"";"";"";"";" ";"";"";"1.3";"";"";"";"";"";"";"";"-0.2";"Осадков нет";"12";"";"-3.0";"";"";
"21.03.2013 03:00";"2.0";"";"";"";"83";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-0.6";"";"";"";"";"";"";
"21.03.2013 00:00";"3.2";"";"";"";"75";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-0.9";"Осадков нет";"6";"";"";"";"";
"20.03.2013 21:00";"3.5";"";"";"";"82";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.8";"";"";"";"";"";"";
"20.03.2013 18:00";"4.1";"";"";"";"83";"";"";"";"";"";" ";"";"";"";"6.8";"";"";"";"";"";"";"1.5";"Осадков нет";"12";"";"";"";"";
"20.03.2013 15:00";"5.1";"";"";"";"81";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.1";"";"";"";"";"";"";
"20.03.2013 12:00";"6.1";"";"";"";"79";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.6";"Осадков нет";"6";"";"";"";"";
"20.03.2013 09:00";"4.7";"";"";"";"81";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"1.7";"";"";"";"";"";"";
"20.03.2013 06:00";"3.8";"";"";"";"89";"";"";"";"";"";" ";"";"";"2.6";"";"";"";"";"";"";"";"2.2";"Осадков нет";"12";"";"-1.0";"";"";
"20.03.2013 03:00";"3.0";"";"";"";"89";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"1.4";"";"";"";"";"";"";
"20.03.2013 00:00";"3.6";"";"";"";"88";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"1.7";"Осадков нет";"6";"";"";"";"";
"19.03.2013 21:00";"4.1";"";"";"";"86";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"1.9";"";"";"";"";"";"";
"19.03.2013 18:00";"6.4";"";"";"";"68";"";"";"";"";"";" ";"";"";"";"9.4";"";"";"";"";"";"";"0.8";"Осадков нет";"12";"";"";"";"";
"19.03.2013 15:00";"7.3";"";"";"";"63";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.7";"";"";"";"";"";"";
"19.03.2013 12:00";"6.1";"";"";"";"77";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.4";"Осадков нет";"6";"";"";"";"";
"19.03.2013 09:00";"4.6";"";"";"";"87";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.7";"";"";"";"";"";"";
"19.03.2013 06:00";"3.7";"";"";"";"91";"";"";"";"";"";" ";"";"";"3.6";"";"";"";"";"";"";"";"2.4";"1.0";"12";"";"2.0";"";"";
"19.03.2013 03:00";"3.8";"";"";"";"89";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.1";"";"";"";"";"";"";
"19.03.2013 00:00";"4.6";"";"";"";"89";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.0";"1.0";"6";"";"";"";"";
"18.03.2013 21:00";"4.9";"";"";"";"91";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.5";"";"";"";"";"";"";
"18.03.2013 18:00";"5.2";"";"";"";"88";"";"";"";"";"";" ";"";"";"";"9.2";"";"";"";"";"";"";"3.4";"9.0";"12";"";"";"";"";
"18.03.2013 15:00";"5.5";"";"";"";"88";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.7";"";"";"";"";"";"";
"18.03.2013 12:00";"8.0";"";"";"";"68";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.4";"0.2";"6";"";"";"";"";
"18.03.2013 09:00";"4.6";"";"";"";"86";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.5";"";"";"";"";"";"";
"18.03.2013 06:00";"0.6";"";"";"";"99";"";"";"";"";"";" ";"";"";"-0.3";"";"";"";"";"";"";"";"0.4";"Осадков нет";"12";"";"-3.0";"";"";
"18.03.2013 03:00";"0.0";"";"";"";"98";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-0.3";"";"";"";"";"";"";
"18.03.2013 00:00";"1.3";"";"";"";"94";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.5";"Осадков нет";"6";"";"";"";"";
"17.03.2013 21:00";"4.0";"";"";"";"86";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"1.8";"";"";"";"";"";"";
"17.03.2013 18:00";"5.3";"";"";"";"86";"";"";"";"";"";" ";"";"";"";"8.5";"";"";"";"";"";"";"3.2";"2.0";"12";"";"";"";"";
"17.03.2013 15:00";"6.9";"";"";"";"80";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.7";"";"";"";"";"";"";
"17.03.2013 12:00";"7.2";"";"";"";"84";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.6";"0.8";"6";"";"";"";"";
"17.03.2013 09:00";"6.9";"";"";"";"87";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.9";"";"";"";"";"";"";
"17.03.2013 06:00";"4.4";"";"";"";"91";"";"";"";"";"";" ";"";"";"3.5";"";"";"";"";"";"";"";"3.0";"4.0";"12";"";"0.0";"";"";
"17.03.2013 03:00";"4.8";"";"";"";"83";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.1";"";"";"";"";"";"";
"17.03.2013 00:00";"6.2";"";"";"";"84";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.7";"4.0";"6";"";"";"";"";
"16.03.2013 21:00";"6.4";"";"";"";"88";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.6";"";"";"";"";"";"";
"16.03.2013 18:00";"6.5";"";"";"";"79";"";"";"";"";"";" ";"";"";"";"8.6";"";"";"";"";"";"";"3.0";"3.0";"12";"";"";"";"";
"16.03.2013 15:00";"7.3";"";"";"";"85";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.9";"";"";"";"";"";"";
"16.03.2013 12:00";"6.8";"";"";"";"84";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.3";"3.0";"6";"";"";"";"";
"16.03.2013 09:00";"6.8";"";"";"";"86";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.7";"";"";"";"";"";"";
"16.03.2013 06:00";"6.9";"";"";"";"84";"";"";"";"";"";" ";"";"";"6.9";"";"";"";"";"";"";"";"4.3";"1.0";"12";"";"5.0";"";"";
"16.03.2013 03:00";"7.5";"";"";"";"81";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.5";"";"";"";"";"";"";
"16.03.2013 00:00";"7.6";"";"";"";"84";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.1";"1.0";"6";"";"";"";"";
"15.03.2013 21:00";"6.9";"";"";"";"90";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.3";"";"";"";"";"";"";
